,번호,정답,난이도,배점,정답률,선지1,선지2,선지3,선지4,선지5,시험과목,시험일,시험구분
321,22,486,최상,4,18%,82% (주관식),,,,,미적분,2024.10.15,학력평가
322,23,2,하,2,96%,1%,96%,2%,1%,1%,미적분,2024.10.15,학력평가
323,24,5,하,3,90%,1%,4%,3%,2%,90%,미적분,2024.10.15,학력평가
324,25,4,중,3,76%,5%,7%,10%,76%,2%,미적분,2024.10.15,학력평가
325,26,3,중하,3,87%,2%,2%,87%,6%,2%,미적분,2024.10.15,학력평가
326,27,1,중,3,74%,74%,5%,7%,7%,8%,미적분,2024.10.15,학력평가
327,28,2,상,4,30%,13%,30%,27%,21%,8%,미적분,2024.10.15,학력평가
328,29,5,상,4,39%,61% (주관식),,,,,미적분,2024.10.15,학력평가
329,30,40,최상,4,25%,75% (주관식),,,,,미적분,2024.10.15,학력평가
330,1,4,하,2,93%,2%,3%,1%,93%,0%,기하,2024.10.15,학력평가
331,2,5,하,2,94%,2%,2%,2%,1%,94%,기하,2024.10.15,학력평가
332,3,2,하,3,92%,2%,92%,3%,2%,2%,기하,2024.10.15,학력평가
333,4,5,하,3,90%,2%,2%,3%,2%,90%,기하,2024.10.15,학력평가
334,5,4,하,3,93%,2%,2%,2%,93%,2%,기하,2024.10.15,학력평가
335,6,2,하,3,91%,3%,91%,4%,2%,1%,기하,2024.10.15,학력평가
336,7,5,하,3,93%,2%,2%,2%,1%,93%,기하,2024.10.15,학력평가
337,8,2,중,3,76%,5%,76%,10%,7%,2%,기하,2024.10.15,학력평가
338,9,1,중하,4,86%,86%,2%,5%,5%,1%,기하,2024.10.15,학력평가
339,10,1,중하,4,80%,80%,4%,10%,4%,2%,기하,2024.10.15,학력평가
340,11,3,중,4,76%,9%,8%,76%,4%,3%,기하,2024.10.15,학력평가
341,12,1,중,4,75%,75%,5%,10%,6%,4%,기하,2024.10.15,학력평가
342,13,5,중상,4,57%,5%,6%,20%,13%,57%,기하,2024.10.15,학력평가
343,14,3,중,4,67%,6%,9%,67%,11%,8%,기하,2024.10.15,학력평가
344,15,4,중,4,70%,4%,5%,15%,70%,6%,기하,2024.10.15,학력평가
345,16,6,하,3,90%,10% (주관식),,,,,기하,2024.10.15,학력평가
346,17,58,중하,3,85%,15% (주관식),,,,,기하,2024.10.15,학력평가
347,18,12,중하,3,89%,11% (주관식),,,,,기하,2024.10.15,학력평가
348,19,84,상,3,35%,65% (주관식),,,,,기하,2024.10.15,학력평가
349,20,54,최상,4,14%,86% (주관식),,,,,기하,2024.10.15,학력평가
350,21,15,최상,4,22%,78% (주관식),,,,,기하,2024.10.15,학력평가
351,22,486,최상,4,11%,89% (주관식),,,,,기하,2024.10.15,학력평가
352,23,2,중하,2,86%,5%,86%,3%,6%,1%,기하,2024.10.15,학력평가
353,24,1,중하,3,89%,89%,3%,3%,3%,1%,기하,2024.10.15,학력평가
354,25,3,중하,3,82%,3%,5%,82%,4%,5%,기하,2024.10.15,학력평가
355,26,5,중,3,77%,3%,6%,6%,9%,77%,기하,2024.10.15,학력평가
356,27,4,중,3,75%,4%,5%,11%,75%,5%,기하,2024.10.15,학력평가
357,28,1,최상,4,24%,24%,18%,23%,24%,10%,기하,2024.10.15,학력평가
358,29,8,상,4,46%,54% (주관식),,,,,기하,2024.10.15,학력평가
359,30,20,최상,4,8%,92% (주관식),,,,,기하,2024.10.15,학력평가
360,1,2,중하,2,89%,2%,89%,4%,4%,2%,확률과통계,2024.09.04,모의평가
361,2,5,하,2,91%,2%,2%,3%,3%,91%,확률과통계,2024.09.04,모의평가
362,3,4,하,3,92%,1%,2%,3%,92%,1%,확률과통계,2024.09.04,모의평가
363,4,2,하,3,92%,1%,92%,3%,3%,1%,확률과통계,2024.09.04,모의평가
364,5,2,하,3,90%,3%,90%,3%,3%,1%,확률과통계,2024.09.04,모의평가
365,6,2,중,3,78%,2%,78%,5%,13%,2%,확률과통계,2024.09.04,모의평가
366,7,3,하,3,92%,3%,2%,92%,3%,2%,확률과통계,2024.09.04,모의평가
367,8,1,중하,3,86%,86%,4%,4%,4%,2%,확률과통계,2024.09.04,모의평가
368,9,5,중하,4,85%,2%,3%,5%,6%,85%,확률과통계,2024.09.04,모의평가
369,10,1,상,4,42%,42%,9%,23%,22%,4%,확률과통계,2024.09.04,모의평가
370,11,1,중,4,69%,69%,5%,12%,10%,5%,확률과통계,2024.09.04,모의평가
371,12,2,중상,4,58%,5%,58%,17%,15%,5%,확률과통계,2024.09.04,모의평가
372,13,4,중상,4,59%,6%,4%,23%,59%,8%,확률과통계,2024.09.04,모의평가
373,14,5,최상,4,26%,6%,7%,34%,27%,26%,확률과통계,2024.09.04,모의평가
374,15,1,상,4,38%,38%,6%,26%,22%,8%,확률과통계,2024.09.04,모의평가
375,16,7,중하,3,88%,12% (주관식),,,,,확률과통계,2024.09.04,모의평가
376,17,5,하,3,90%,10% (주관식),,,,,확률과통계,2024.09.04,모의평가
377,18,29,중,3,76%,24% (주관식),,,,,확률과통계,2024.09.04,모의평가
378,19,4,중,3,78%,22% (주관식),,,,,확률과통계,2024.09.04,모의평가
379,20,15,상,4,33%,67% (주관식),,,,,확률과통계,2024.09.04,모의평가
380,21,31,최상,4,7%,93% (주관식),,,,,확률과통계,2024.09.04,모의평가
381,22,8,최상,4,12%,88% (주관식),,,,,확률과통계,2024.09.04,모의평가
382,23,5,하,2,90%,2%,2%,3%,3%,90%,확률과통계,2024.09.04,모의평가
383,24,1,중,3,70%,70%,3%,16%,4%,7%,확률과통계,2024.09.04,모의평가
384,25,5,중,3,78%,2%,7%,7%,6%,78%,확률과통계,2024.09.04,모의평가
385,26,3,중,3,72%,4%,9%,72%,12%,3%,확률과통계,2024.09.04,모의평가
386,27,4,중,3,75%,4%,7%,10%,75%,4%,확률과통계,2024.09.04,모의평가
387,28,4,상,4,42%,7%,26%,20%,42%,5%,확률과통계,2024.09.04,모의평가
388,29,994,최상,4,25%,75% (주관식),,,,,확률과통계,2024.09.04,모의평가
389,30,93,최상,4,16%,84% (주관식),,,,,확률과통계,2024.09.04,모의평가
390,1,2,하,2,96%,1%,96%,1%,1%,0%,미적분,2024.09.04,모의평가
391,2,5,하,2,97%,0%,1%,1%,1%,97%,미적분,2024.09.04,모의평가
392,3,4,하,3,98%,0%,1%,1%,98%,0%,미적분,2024.09.04,모의평가
393,4,2,하,3,97%,1%,97%,1%,1%,0%,미적분,2024.09.04,모의평가
394,5,2,하,3,95%,2%,95%,1%,2%,0%,미적분,2024.09.04,모의평가
395,6,2,하,3,92%,1%,92%,1%,6%,1%,미적분,2024.09.04,모의평가
396,7,3,하,3,97%,1%,0%,97%,1%,0%,미적분,2024.09.04,모의평가
397,8,1,하,3,96%,96%,1%,1%,1%,1%,미적분,2024.09.04,모의평가
398,9,5,하,4,96%,1%,1%,1%,1%,96%,미적분,2024.09.04,모의평가
399,10,1,중,4,75%,75%,4%,12%,8%,2%,미적분,2024.09.04,모의평가
400,11,1,하,4,91%,91%,1%,3%,2%,1%,미적분,2024.09.04,모의평가
401,12,2,중하,4,83%,2%,83%,6%,6%,2%,미적분,2024.09.04,모의평가
402,13,4,중하,4,83%,2%,2%,10%,83%,3%,미적분,2024.09.04,모의평가
403,14,5,중,4,62%,3%,3%,23%,10%,62%,미적분,2024.09.04,모의평가
404,15,1,중,4,74%,74%,2%,13%,7%,3%,미적분,2024.09.04,모의평가
405,16,7,하,3,97%,3% (주관식),,,,,미적분,2024.09.04,모의평가
406,17,5,하,3,97%,3% (주관식),,,,,미적분,2024.09.04,모의평가
407,18,29,하,3,93%,7% (주관식),,,,,미적분,2024.09.04,모의평가
408,19,4,하,3,92%,8% (주관식),,,,,미적분,2024.09.04,모의평가
409,20,15,중,4,68%,32% (주관식),,,,,미적분,2024.09.04,모의평가
410,21,31,최상,4,26%,74% (주관식),,,,,미적분,2024.09.04,모의평가
411,22,8,상,4,41%,59% (주관식),,,,,미적분,2024.09.04,모의평가
412,23,5,하,2,96%,1%,1%,1%,1%,96%,미적분,2024.09.04,모의평가
413,24,4,하,3,91%,1%,1%,6%,91%,1%,미적분,2024.09.04,모의평가
414,25,4,중하,3,89%,4%,2%,3%,89%,2%,미적분,2024.09.04,모의평가
415,26,3,중하,3,82%,3%,6%,82%,4%,5%,미적분,2024.09.04,모의평가
416,27,2,중,3,79%,3%,79%,12%,5%,2%,미적분,2024.09.04,모의평가
417,28,3,중상,4,55%,20%,11%,55%,9%,4%,미적분,2024.09.04,모의평가
418,29,57,상,4,49%,51% (주관식),,,,,미적분,2024.09.04,모의평가
419,30,25,최상,4,16%,84% (주관식),,,,,미적분,2024.09.04,모의평가
420,1,2,하,2,93%,2%,93%,2%,2%,1%,기하,2024.09.04,모의평가
421,2,5,하,2,95%,2%,1%,2%,1%,95%,기하,2024.09.04,모의평가
422,3,4,하,3,96%,1%,1%,2%,96%,1%,기하,2024.09.04,모의평가
423,4,2,하,3,95%,1%,95%,2%,2%,1%,기하,2024.09.04,모의평가
424,5,2,하,3,93%,3%,93%,2%,2%,1%,기하,2024.09.04,모의평가
425,6,2,중하,3,88%,2%,88%,2%,7%,1%,기하,2024.09.04,모의평가
426,7,3,하,3,95%,2%,1%,95%,1%,1%,기하,2024.09.04,모의평가
427,8,1,하,3,94%,94%,2%,2%,2%,1%,기하,2024.09.04,모의평가
428,9,5,하,4,93%,1%,1%,2%,3%,93%,기하,2024.09.04,모의평가
429,10,1,중,4,72%,72%,5%,10%,9%,3%,기하,2024.09.04,모의평가
430,11,1,중하,4,85%,85%,2%,6%,4%,3%,기하,2024.09.04,모의평가
431,12,2,중,4,75%,4%,75%,10%,8%,3%,기하,2024.09.04,모의평가
432,13,4,중,4,75%,4%,2%,13%,75%,5%,기하,2024.09.04,모의평가
433,14,5,상,4,49%,5%,4%,25%,17%,49%,기하,2024.09.04,모의평가
434,15,1,중상,4,54%,54%,4%,21%,14%,6%,기하,2024.09.04,모의평가
435,16,7,하,3,94%,6% (주관식),,,,,기하,2024.09.04,모의평가
436,17,5,하,3,94%,6% (주관식),,,,,기하,2024.09.04,모의평가
437,18,29,중하,3,87%,13% (주관식),,,,,기하,2024.09.04,모의평가
438,19,4,중하,3,87%,13% (주관식),,,,,기하,2024.09.04,모의평가
439,20,15,중상,4,53%,47% (주관식),,,,,기하,2024.09.04,모의평가
440,21,31,최상,4,18%,82% (주관식),,,,,기하,2024.09.04,모의평가
441,22,8,최상,4,26%,74% (주관식),,,,,기하,2024.09.04,모의평가
442,23,3,하,2,96%,1%,1%,96%,1%,1%,기하,2024.09.04,모의평가
443,24,4,하,3,90%,3%,4%,2%,90%,1%,기하,2024.09.04,모의평가
444,25,5,중하,3,85%,3%,3%,5%,5%,85%,기하,2024.09.04,모의평가
445,26,3,중,3,66%,6%,15%,66%,8%,4%,기하,2024.09.04,모의평가
446,27,4,중,3,63%,11%,8%,8%,63%,10%,기하,2024.09.04,모의평가
447,28,1,상,4,48%,48%,23%,13%,10%,6%,기하,2024.09.04,모의평가
448,29,63,중상,4,50%,50% (주관식),,,,,기하,2024.09.04,모의평가
449,30,54,최상,4,14%,86% (주관식),,,,,기하,2024.09.04,모의평가
450,1,4,하,2,92%,2%,2%,3%,92%,1%,확률과통계,2024.07.11,학력평가
451,2,4,하,2,92%,1%,2%,3%,92%,1%,확률과통계,2024.07.11,학력평가
452,3,1,중,3,71%,71%,4%,11%,4%,11%,확률과통계,2024.07.11,학력평가
453,4,5,하,3,91%,1%,2%,4%,2%,91%,확률과통계,2024.07.11,학력평가
454,5,3,중하,3,86%,2%,3%,86%,6%,2%,확률과통계,2024.07.11,학력평가
455,6,5,중하,3,84%,3%,4%,5%,4%,84%,확률과통계,2024.07.11,학력평가
456,7,2,중하,3,87%,2%,87%,5%,4%,2%,확률과통계,2024.07.11,학력평가
457,8,1,중,3,72%,72%,10%,8%,7%,3%,확률과통계,2024.07.11,학력평가
458,9,3,중,4,79%,4%,7%,79%,7%,2%,확률과통계,2024.07.11,학력평가
459,10,2,중상,4,59%,9%,59%,10%,17%,6%,확률과통계,2024.07.11,학력평가
460,11,5,중상,4,57%,8%,10%,12%,13%,57%,확률과통계,2024.07.11,학력평가
461,12,4,상,4,47%,10%,15%,20%,47%,8%,확률과통계,2024.07.11,학력평가
462,13,1,최상,4,28%,28%,19%,28%,20%,5%,확률과통계,2024.07.11,학력평가
463,14,4,상,4,38%,12%,18%,24%,38%,7%,확률과통계,2024.07.11,학력평가
464,15,2,상,4,37%,16%,37%,21%,18%,9%,확률과통계,2024.07.11,학력평가
465,16,11,중하,3,87%,13% (주관식),,,,,확률과통계,2024.07.11,학력평가
466,17,50,중하,3,85%,15% (주관식),,,,,확률과통계,2024.07.11,학력평가
467,18,37,중,3,75%,25% (주관식),,,,,확률과통계,2024.07.11,학력평가
468,19,2,중상,3,52%,48% (주관식),,,,,확률과통계,2024.07.11,학력평가
469,20,35,최상,4,11%,89% (주관식),,,,,확률과통계,2024.07.11,학력평가
470,21,8,최상,4,10%,90% (주관식),,,,,확률과통계,2024.07.11,학력평가
471,22,96,최상,4,2%,98% (주관식),,,,,확률과통계,2024.07.11,학력평가
472,23,3,하,2,93%,2%,2%,93%,3%,1%,확률과통계,2024.07.11,학력평가
473,24,4,중,3,77%,4%,7%,9%,77%,3%,확률과통계,2024.07.11,학력평가
474,25,5,중하,3,81%,2%,3%,8%,5%,81%,확률과통계,2024.07.11,학력평가
475,26,4,중,3,62%,11%,10%,13%,62%,4%,확률과통계,2024.07.11,학력평가
476,27,2,중,3,68%,6%,68%,11%,10%,5%,확률과통계,2024.07.11,학력평가
477,28,2,상,4,44%,20%,44%,14%,14%,7%,확률과통계,2024.07.11,학력평가
478,29,70,최상,4,18%,82% (주관식),,,,,확률과통계,2024.07.11,학력평가
479,30,198,최상,4,18%,82% (주관식),,,,,확률과통계,2024.07.11,학력평가
480,1,4,하,2,97%,1%,1%,1%,97%,0%,미적분,2024.07.11,학력평가
481,2,4,하,2,98%,0%,1%,1%,98%,0%,미적분,2024.07.11,학력평가
482,3,1,중하,3,86%,86%,1%,5%,2%,7%,미적분,2024.07.11,학력평가
483,4,5,하,3,97%,1%,1%,1%,1%,97%,미적분,2024.07.11,학력평가
484,5,3,하,3,96%,1%,1%,96%,1%,1%,미적분,2024.07.11,학력평가
485,6,5,하,3,95%,1%,1%,1%,1%,95%,미적분,2024.07.11,학력평가
486,7,2,하,3,96%,1%,96%,1%,2%,0%,미적분,2024.07.11,학력평가
487,8,1,중하,3,89%,89%,6%,2%,2%,1%,미적분,2024.07.11,학력평가
488,9,3,하,4,94%,2%,2%,94%,2%,1%,미적분,2024.07.11,학력평가
489,10,2,중하,4,81%,5%,81%,3%,9%,2%,미적분,2024.07.11,학력평가
490,11,5,중하,4,83%,3%,4%,4%,5%,83%,미적분,2024.07.11,학력평가
491,12,4,중,4,72%,6%,7%,10%,72%,5%,미적분,2024.07.11,학력평가
492,13,1,중상,4,51%,51%,13%,21%,12%,4%,미적분,2024.07.11,학력평가
493,14,4,중,4,65%,6%,11%,14%,65%,4%,미적분,2024.07.11,학력평가
494,15,2,중상,4,58%,13%,58%,12%,11%,5%,미적분,2024.07.11,학력평가
495,16,11,하,3,95%,5% (주관식),,,,,미적분,2024.07.11,학력평가
496,17,50,하,3,93%,7% (주관식),,,,,미적분,2024.07.11,학력평가
497,18,37,하,3,90%,10% (주관식),,,,,미적분,2024.07.11,학력평가
498,19,2,중하,3,83%,17% (주관식),,,,,미적분,2024.07.11,학력평가
499,20,35,상,4,33%,67% (주관식),,,,,미적분,2024.07.11,학력평가
500,21,8,상,4,36%,64% (주관식),,,,,미적분,2024.07.11,학력평가
501,22,96,최상,4,9%,91% (주관식),,,,,미적분,2024.07.11,학력평가
502,23,3,하,2,94%,2%,1%,94%,2%,1%,미적분,2024.07.11,학력평가
503,24,1,중하,3,88%,88%,5%,2%,5%,1%,미적분,2024.07.11,학력평가
504,25,2,중하,3,89%,2%,89%,3%,4%,2%,미적분,2024.07.11,학력평가
505,26,4,중,3,66%,4%,6%,8%,66%,16%,미적분,2024.07.11,학력평가
506,27,3,중,3,72%,4%,4%,72%,12%,8%,미적분,2024.07.11,학력평가
507,28,2,최상,4,22%,8%,22%,11%,24%,35%,미적분,2024.07.11,학력평가
508,29,12,최상,4,21%,79% (주관식),,,,,미적분,2024.07.11,학력평가
509,30,144,최상,4,4%,96% (주관식),,,,,미적분,2024.07.11,학력평가
510,1,4,하,2,93%,2%,1%,3%,93%,1%,기하,2024.07.11,학력평가
511,2,4,하,2,94%,1%,2%,2%,94%,2%,기하,2024.07.11,학력평가
512,3,1,중하,3,80%,80%,2%,7%,3%,8%,기하,2024.07.11,학력평가
513,4,5,하,3,92%,2%,2%,3%,2%,92%,기하,2024.07.11,학력평가
514,5,3,중하,3,89%,2%,3%,89%,3%,2%,기하,2024.07.11,학력평가
515,6,5,중하,3,89%,2%,2%,3%,3%,89%,기하,2024.07.11,학력평가
516,7,2,하,3,92%,2%,92%,3%,3%,1%,기하,2024.07.11,학력평가
517,8,1,중하,3,84%,84%,5%,4%,4%,2%,기하,2024.07.11,학력평가
518,9,3,하,4,90%,3%,4%,90%,3%,1%,기하,2024.07.11,학력평가
519,10,2,중,4,74%,6%,74%,6%,11%,3%,기하,2024.07.11,학력평가
520,11,5,중,4,74%,4%,7%,7%,8%,74%,기하,2024.07.11,학력평가
521,12,4,중,4,63%,7%,11%,14%,63%,5%,기하,2024.07.11,학력평가
522,13,1,중상,4,51%,51%,14%,20%,12%,4%,기하,2024.07.11,학력평가
523,14,4,중상,4,52%,7%,16%,19%,52%,5%,기하,2024.07.11,학력평가
524,15,2,상,4,49%,14%,49%,16%,14%,7%,기하,2024.07.11,학력평가
525,16,11,하,3,91%,9% (주관식),,,,,기하,2024.07.11,학력평가
526,17,50,중하,3,88%,12% (주관식),,,,,기하,2024.07.11,학력평가
527,18,37,중하,3,83%,17% (주관식),,,,,기하,2024.07.11,학력평가
528,19,2,중,3,73%,27% (주관식),,,,,기하,2024.07.11,학력평가
529,20,35,최상,4,25%,75% (주관식),,,,,기하,2024.07.11,학력평가
530,21,8,최상,4,26%,74% (주관식),,,,,기하,2024.07.11,학력평가
531,22,96,최상,4,6%,94% (주관식),,,,,기하,2024.07.11,학력평가
532,23,3,중하,2,89%,3%,2%,89%,4%,3%,기하,2024.07.11,학력평가
533,24,1,중하,3,87%,87%,3%,4%,4%,1%,기하,2024.07.11,학력평가
534,25,5,중,3,76%,2%,3%,6%,13%,76%,기하,2024.07.11,학력평가
535,26,2,중,3,78%,3%,78%,6%,9%,3%,기하,2024.07.11,학력평가
536,27,4,중,3,73%,3%,10%,9%,73%,6%,기하,2024.07.11,학력평가
537,28,4,상,4,47%,11%,13%,21%,47%,9%,기하,2024.07.11,학력평가
538,29,90,최상,4,24%,76% (주관식),,,,,기하,2024.07.11,학력평가
539,30,111,최상,4,9%,91% (주관식),,,,,기하,2024.07.11,학력평가
540,1,4,중하,2,83%,3%,4%,5%,83%,5%,확률과통계,2024.06.04,모의평가
541,2,5,중하,2,85%,3%,4%,4%,4%,85%,확률과통계,2024.06.04,모의평가
542,3,3,중하,3,87%,2%,3%,87%,4%,3%,확률과통계,2024.06.04,모의평가
543,4,3,중하,3,87%,2%,2%,87%,8%,1%,확률과통계,2024.06.04,모의평가
544,5,5,중하,3,88%,2%,2%,5%,3%,88%,확률과통계,2024.06.04,모의평가
545,6,1,중,3,64%,64%,15%,9%,4%,8%,확률과통계,2024.06.04,모의평가
546,7,4,중하,3,84%,3%,5%,5%,84%,2%,확률과통계,2024.06.04,모의평가
547,8,1,중,3,75%,75%,9%,6%,6%,4%,확률과통계,2024.06.04,모의평가
548,9,3,중,4,73%,4%,12%,73%,8%,4%,확률과통계,2024.06.04,모의평가
549,10,5,상,4,35%,9%,28%,13%,15%,35%,확률과통계,2024.06.04,모의평가
550,11,5,중상,4,55%,9%,14%,11%,11%,55%,확률과통계,2024.06.04,모의평가
551,12,3,최상,4,26%,9%,40%,26%,17%,8%,확률과통계,2024.06.04,모의평가
552,13,3,상,4,41%,10%,23%,41%,18%,8%,확률과통계,2024.06.04,모의평가
553,14,4,최상,4,29%,11%,34%,15%,29%,10%,확률과통계,2024.06.04,모의평가
554,15,2,상,4,44%,11%,44%,16%,20%,9%,확률과통계,2024.06.04,모의평가
555,16,7,중,3,78%,22% (주관식),,,,,확률과통계,2024.06.04,모의평가
556,17,23,중하,3,86%,14% (주관식),,,,,확률과통계,2024.06.04,모의평가
557,18,2,중,3,76%,24% (주관식),,,,,확률과통계,2024.06.04,모의평가
558,19,16,최상,3,21%,79% (주관식),,,,,확률과통계,2024.06.04,모의평가
559,20,24,최상,4,14%,86% (주관식),,,,,확률과통계,2024.06.04,모의평가
560,21,15,최상,4,10%,90% (주관식),,,,,확률과통계,2024.06.04,모의평가
561,22,231,최상,4,3%,97% (주관식),,,,,확률과통계,2024.06.04,모의평가
562,23,3,하,2,93%,2%,2%,93%,2%,2%,확률과통계,2024.06.04,모의평가
563,24,2,중하,3,85%,3%,85%,4%,4%,3%,확률과통계,2024.06.04,모의평가
564,25,4,중하,3,87%,2%,4%,5%,87%,2%,확률과통계,2024.06.04,모의평가
565,26,3,중,3,64%,6%,9%,64%,9%,12%,확률과통계,2024.06.04,모의평가
566,27,1,중,3,74%,74%,4%,6%,5%,11%,확률과통계,2024.06.04,모의평가
567,28,1,최상,4,23%,23%,15%,15%,14%,33%,확률과통계,2024.06.04,모의평가
568,29,6,중상,4,50%,50% (주관식),,,,,확률과통계,2024.06.04,모의평가
569,30,108,최상,4,7%,93% (주관식),,,,,확률과통계,2024.06.04,모의평가
570,1,4,하,2,92%,1%,2%,1%,92%,4%,미적분,2024.06.04,모의평가
571,2,5,하,2,96%,1%,1%,1%,1%,96%,미적분,2024.06.04,모의평가
572,3,3,하,3,95%,1%,1%,95%,1%,2%,미적분,2024.06.04,모의평가
573,4,3,하,3,95%,1%,1%,95%,3%,0%,미적분,2024.06.04,모의평가
574,5,5,하,3,96%,1%,1%,1%,1%,96%,미적분,2024.06.04,모의평가
575,6,1,중하,3,84%,84%,7%,3%,1%,5%,미적분,2024.06.04,모의평가
576,7,4,하,3,96%,1%,2%,1%,96%,1%,미적분,2024.06.04,모의평가
577,8,1,하,3,92%,92%,3%,2%,1%,2%,미적분,2024.06.04,모의평가
578,9,3,하,4,91%,1%,5%,91%,2%,1%,미적분,2024.06.04,모의평가
579,10,5,중,4,65%,7%,14%,6%,7%,65%,미적분,2024.06.04,모의평가
580,11,5,중하,4,84%,5%,5%,4%,3%,84%,미적분,2024.06.04,모의평가
581,12,3,상,4,46%,7%,32%,46%,9%,5%,미적분,2024.06.04,모의평가
582,13,3,중,4,70%,8%,9%,70%,8%,5%,미적분,2024.06.04,모의평가
583,14,4,상,4,47%,11%,28%,8%,47%,6%,미적분,2024.06.04,모의평가
584,15,2,중상,4,56%,13%,56%,9%,17%,6%,미적분,2024.06.04,모의평가
585,16,7,하,3,93%,7% (주관식),,,,,미적분,2024.06.04,모의평가
586,17,23,하,3,95%,5% (주관식),,,,,미적분,2024.06.04,모의평가
587,18,2,하,3,92%,8% (주관식),,,,,미적분,2024.06.04,모의평가
588,19,16,중상,3,54%,46% (주관식),,,,,미적분,2024.06.04,모의평가
589,20,24,상,4,36%,64% (주관식),,,,,미적분,2024.06.04,모의평가
590,21,15,상,4,36%,64% (주관식),,,,,미적분,2024.06.04,모의평가
591,22,231,최상,4,15%,85% (주관식),,,,,미적분,2024.06.04,모의평가
592,23,2,하,2,94%,2%,94%,2%,1%,1%,미적분,2024.06.04,모의평가
593,24,3,중하,3,87%,2%,5%,87%,5%,2%,미적분,2024.06.04,모의평가
594,25,3,하,3,91%,2%,2%,91%,4%,2%,미적분,2024.06.04,모의평가
595,26,2,중,3,76%,6%,76%,3%,7%,7%,미적분,2024.06.04,모의평가
596,27,2,상,3,39%,10%,39%,4%,28%,19%,미적분,2024.06.04,모의평가
597,28,4,중상,4,56%,14%,9%,8%,56%,13%,미적분,2024.06.04,모의평가
598,29,55,최상,4,16%,84% (주관식),,,,,미적분,2024.06.04,모의평가
599,30,25,최상,4,6%,94% (주관식),,,,,미적분,2024.06.04,모의평가
600,1,4,중하,2,88%,2%,3%,3%,88%,3%,기하,2024.06.04,모의평가
601,2,5,하,2,91%,2%,2%,3%,2%,91%,기하,2024.06.04,모의평가
602,3,3,하,3,91%,1%,2%,91%,2%,3%,기하,2024.06.04,모의평가
603,4,3,하,3,91%,1%,2%,91%,5%,1%,기하,2024.06.04,모의평가
604,5,5,하,3,93%,2%,1%,3%,2%,93%,기하,2024.06.04,모의평가
605,6,1,중,3,77%,77%,9%,5%,2%,6%,기하,2024.06.04,모의평가
606,7,4,하,3,91%,2%,3%,3%,91%,1%,기하,2024.06.04,모의평가
607,8,1,중하,3,87%,87%,5%,3%,3%,2%,기하,2024.06.04,모의평가
608,9,3,중하,4,85%,2%,7%,85%,3%,2%,기하,2024.06.04,모의평가
609,10,5,중,4,61%,9%,15%,8%,8%,61%,기하,2024.06.04,모의평가
610,11,5,중,4,74%,6%,8%,6%,5%,74%,기하,2024.06.04,모의평가
611,12,3,상,4,35%,9%,39%,35%,11%,6%,기하,2024.06.04,모의평가
612,13,3,중,4,61%,10%,14%,61%,9%,6%,기하,2024.06.04,모의평가
613,14,4,상,4,38%,12%,33%,10%,38%,7%,기하,2024.06.04,모의평가
614,15,2,중상,4,53%,14%,53%,11%,15%,7%,기하,2024.06.04,모의평가
615,16,7,중하,3,87%,13% (주관식),,,,,기하,2024.06.04,모의평가
616,17,23,하,3,91%,9% (주관식),,,,,기하,2024.06.04,모의평가
617,18,2,중하,3,87%,13% (주관식),,,,,기하,2024.06.04,모의평가
618,19,16,상,3,44%,56% (주관식),,,,,기하,2024.06.04,모의평가
619,20,24,상,4,30%,70% (주관식),,,,,기하,2024.06.04,모의평가
620,21,15,최상,4,26%,74% (주관식),,,,,기하,2024.06.04,모의평가
621,22,231,최상,4,10%,90% (주관식),,,,,기하,2024.06.04,모의평가
622,23,4,하,2,92%,2%,3%,2%,92%,1%,기하,2024.06.04,모의평가
623,24,2,중하,3,86%,3%,86%,5%,4%,2%,기하,2024.06.04,모의평가
